price;title;location;surface;rooms
1600000;Mieszkanie Warszawa Śródmieście, ul. Koszykowa;Śródmieście;109.0;5
990000;Mieszkanie Warszawa Śródmieście, ul. Nowogrodzka;Śródmieście;51.5;3
918000;Mieszkanie Warszawa Młynów, ul. Okopowa;Młynów;82.0;4
2820000;Mieszkanie Warszawa Mokotów, ul. Podchorążych;Mokotów;146.0;4
2590000;Mieszkanie Warszawa Śródmieście, ul. Plac Politechniki;Śródmieście;154.0;4
807248;Nowe mieszkanie Warszawa Praga-Południe;Praga-Południe;56.53;3
588000;Mieszkanie Warszawa Wola, ul. Leonarda;Wola;38.0;2
1095698;Nowe mieszkanie Warszawa Mokotów, ul. Polska;Mokotów;91.46;4
910442;Mieszkanie Warszawa Śródmieście, ul. Grzybowska;Śródmieście;46.93;2
580000;Mieszkanie Warszawa Powiśle, ul. Solec;Powiśle;36.0;2
1440000;Mieszkanie Warszawa Śródmieście, ul. Słomińskiego;Śródmieście;93.9;3
1551000;Mieszkanie Warszawa Stara Ochota, ul. Ładysława z Gielniowa;Stara Ochota;67.44;3
1600000;Mieszkanie Warszawa Śródmieście Południowe, al. Niepodległości;Śródmieście Południowe;109.0;5
695000;Mieszkanie Warszawa Wola, ul. Nowolipki;Wola;34.75;2
720000;Mieszkanie Warszawa Mokotów, ul. Górny Mokotów;Mokotów;61.0;2
3400000;Mieszkanie Warszawa Śródmieście, ul. Grzybowska;Śródmieście;133.1;4
1639000;Mieszkanie Warszawa Górny Mokotów;Górny Mokotów;92.0;4
639449;Nowe mieszkanie Warszawa Siekierki;Siekierki;38.66;2
550000;Mieszkanie Warszawa Targówek, ul. Wysockiego;Targówek;53.4;3
615000;Mieszkanie Warszawa Śródmieście, ul. Wałowa;Śródmieście;38.1;2
740000;Mieszkanie Warszawa Grochów, ul. Paca;Grochów;66.5;3
1200538;Mieszkanie Warszawa Śródmieście, ul. Prosta 69;Śródmieście;62.2;3
629322;Mieszkanie Warszawa Stary Mokotów, ul. Odolańska;Stary Mokotów;39.58;2
794999;Mieszkanie Warszawa Mokotów;Mokotów;53.01;2
1018210;Nowe mieszkanie Warszawa Powiśle;Powiśle;44.27;2
1295000;Mieszkanie Warszawa Żoliborz;Żoliborz;62.0;3
602391;Nowe mieszkanie Warszawa;mazowieckie;45.97;2
924000;Mieszkanie Warszawa Wola, ul. Waliców 11;Wola;34.22;2
515000;Mieszkanie Warszawa Grochów, ul. Waszyngtona;Grochów;48.1;2
950000;Mieszkanie Warszawa Praga-Północ, ul. Wileńska;Praga-Północ;63.55;3
900000;Mieszkanie Warszawa Śródmieście, ul. Emilii Plater;Śródmieście;35.0;2
980000;Mieszkanie Warszawa Czyste, ul. Wronia;Czyste;54.56;2
475000;Mieszkanie Warszawa Praga-Północ, ul. Ząbkowska;Praga-Północ;38.3;2
549900;Mieszkanie Warszawa Praga-Południe, ul. Czapelska;Praga-Południe;39.0;2
782000;Nowe mieszkanie Warszawa Śródmieście, ul. Grzybowska 37;Śródmieście;31.1;1
1427000;Nowe mieszkanie Warszawa Wola, ul. Kolejowa;Wola;82.18;4
498654;Nowe mieszkanie Warszawa Grochów, ul. Szaserów;Grochów;36.91;2
603000;Nowe mieszkanie Warszawa Wola, ul. Kolejowa;Wola;31.55;1
530000;Mieszkanie Warszawa Grochów, ul. Korytnicka;Grochów;53.0;2
1034000;Mieszkanie Warszawa Szmulowizna, ul. Radzymińska;Szmulowizna;82.49;3
870000;Mieszkanie Warszawa Górny Mokotów, ul. Górny Mokotów;Górny Mokotów;54.6;2
630000;Mieszkanie Warszawa Śródmieście, ul. Jana Pawła II;Śródmieście;48.58;2
375000;Mieszkanie Warszawa Muranów, ul. Dzielna;Muranów;19.0;1
539000;Mieszkanie Warszawa Praga-Południe, ul. Fałata 5;Praga-Południe;63.0;3
630000;Mieszkanie Warszawa Mirów, ul. Chłodna;Mirów;39.5;2
2158400;Mieszkanie Warszawa Śródmieście, ul. Lądowa;Śródmieście;63.0;2
495000;Mieszkanie Warszawa Stara Ochota, ul. Lelechowska;Stara Ochota;39.0;2
1170000;Mieszkanie Warszawa Mokotów, ul. Madalińskiego;Mokotów;78.3;3
899000;Mieszkanie Warszawa Mokotów;Mokotów;72.0;3
1700000;Nowe mieszkanie Warszawa Wola, ul. Grzybowska 51;Wola;66.0;2
8382000;Mieszkanie Warszawa Śródmieście Południowe, ul. Noakowskiego;Śródmieście Południowe;254.0;4
1329000;Mieszkanie Warszawa Śródmieście, ul. Wyzwolenia;Śródmieście;75.0;4
480000;Mieszkanie Warszawa Wola;Wola;38.0;2
810000;Mieszkanie Warszawa Olszynka Grochowska;Olszynka Grochowska;82.0;4
999000;Mieszkanie Warszawa Praga-Południe;Praga-Południe;157.2;5
1060000;Mieszkanie Warszawa Stara Ochota, ul. Filtrowa;Stara Ochota;73.0;2
1100000;Mieszkanie Warszawa Stary Żoliborz, ul. Wyspiańskiego;Stary Żoliborz;55.0;3
550000;Mieszkanie Warszawa Młynów;Młynów;47.8;2
950000;Mieszkanie Warszawa Mokotów, ul. Stępińska;Mokotów;50.09;2
685000;Mieszkanie Warszawa Stary Żoliborz, ul. gen. Józefa Zajączka;Stary Żoliborz;41.35;2
1950000;Mieszkanie Warszawa Śródmieście, ul. Marszałkowska;Śródmieście;99.5;3
1220000;Mieszkanie Warszawa Praga-Południe, ul. Nizinna;Praga-Południe;89.9;3
539800;Nowe mieszkanie Warszawa Praga-Południe;Praga-Południe;30.0;1
670000;Warszawa Mokotów Gierymskiego 14,3 pok., ok. Łazienek Królewskich i Warszawianki;Dolny Mokotów;55.0;3
574000;Mieszkanie Warszawa Śródmieście, ul. Wałowa;Śródmieście;38.0;2
659000;Mieszkanie Warszawa Targówek Mieszkaniowy, ul. św. Wincentego;Targówek Mieszkaniowy;67.4;3
1099000;Mieszkanie Warszawa Nowa Praga, ul. Wileńska;Nowa Praga;107.0;4
549000;Mieszkanie Warszawa Praga-Północ, ul. Konopacka;Praga-Północ;35.0;2
570000;Mieszkanie Warszawa Czerniaków;Czerniaków;59.0;3
749000;Mieszkanie Warszawa Śródmieście, ul. Elektoralna;Śródmieście;50.0;2
620000;Mieszkanie Warszawa Praga-Południe, ul. gen. Romana Abrahama;Praga-Południe;60.0;4
598600;Mieszkanie Warszawa Nowolipki, ul. Nowolipie;Nowolipki;41.0;2
699000;Mieszkanie Warszawa Targówek, ul. Zamiejska;Targówek;61.7;3
686000;Mieszkanie Warszawa Praga-Północ, ul. Okrzei;Praga-Północ;37.05;2
660000;Mieszkanie Warszawa Praga-Południe, ul. Mińska;Praga-Południe;44.11;2
445000;Mieszkanie Warszawa Praga-Północ, ul. Stalowa;Praga-Północ;33.4;1
740000;Mieszkanie Warszawa Młynów;Młynów;51.0;2
2115650;Mieszkanie Warszawa Mokotów, ul. Belwederska;Mokotów;111.35;6
728670;Nowe mieszkanie Warszawa;mazowieckie;66.55;4
620000;Mieszkanie Warszawa Śródmieście, ul. Piękna;Śródmieście;28.0;1
1950000;Mieszkanie Warszawa Stary Mokotów, ul. Narbutta;Stary Mokotów;110.0;3
390000;Mieszkanie Warszawa Praga-Północ, ul. Witkiewicza;Praga-Północ;34.0;1
4000000;Mieszkanie Warszawa Powiśle, ul. Kruczkowskiego;Powiśle;181.0;3
599000;Mieszkanie Warszawa Gocław;Gocław;56.4;3
2702185;Nowe mieszkanie Warszawa Mokotów, ul. Madalińskiego;Mokotów;109.36;4
3550000;Mieszkanie Warszawa Śródmieście, ul. Moliera;Śródmieście;172.37;6
729000;Mieszkanie Warszawa Targówek Mieszkaniowy, ul. Korzona;Targówek Mieszkaniowy;71.2;3
789900;Nowe mieszkanie Warszawa Mokotów, ul. Polska;Mokotów;67.37;3
690000;Nowe mieszkanie Warszawa Praga-Południe;Praga-Południe;56.0;2
1050000;Mieszkanie Warszawa Wola, ul. Łucka;Wola;49.0;2
1290000;Mieszkanie Warszawa Gocław;Gocław;81.5;4
2499000;Mieszkanie Warszawa Wola, ul. Siedmiogrodzka;Wola;110.0;4
1459000;Mieszkanie Warszawa Śródmieście, ul. Grzybowska;Śródmieście;66.95;2
486992;Nowe mieszkanie Warszawa;mazowieckie;41.68;2
575000;Mieszkanie Warszawa Saska Kępa, ul. Afrykańska 3;Saska Kępa;46.0;3
740000;Dwupokojowe z 2016r., klimatyzacja, garderoba;Praga-Południe;53.3;2
445000;Mieszkanie Warszawa Nowa Praga, ul. Stalowa;Nowa Praga;33.4;1
1388500;Nowe mieszkanie Warszawa Wola, ul. Kolejowa;Wola;66.99;3
20000;Mieszkanie Warszawa Grochów, ul. Wiatraczna;Grochów;20.35;1
1162880;Nowe mieszkanie Warszawa Powiśle;Powiśle;50.56;2
690000;Mieszkanie Warszawa Praga-Południe, ul. Jeziorańskiego;Praga-Południe;54.02;3
756582;Nowe mieszkanie Warszawa Mokotów, ul. Bluszczańska;Mokotów;45.03;2
1100000;Mieszkanie Warszawa Praga-Południe;Praga-Południe;81.0;3
484000;Mieszkanie Warszawa Grochów, ul. Garwolińska;Grochów;38.0;2
589000;Mieszkanie Warszawa Praga-Północ, ul. Wileńska;Praga-Północ;50.0;2
541500;Nowe mieszkanie Warszawa Wola, ul. Kolejowa;Wola;30.47;1
816640;Mieszkanie Warszawa Śródmieście, ul. Krzywe Koło;Śródmieście;28.16;1
520000;Mieszkanie Warszawa Targówek, ul. Ogińskiego;Targówek;54.0;3
625000;Mieszkanie Warszawa Śródmieście, ul. Jana Pawła II;Śródmieście;33.6;2
1887320;Mieszkanie Warszawa Śródmieście, ul. Krzywe Koło;Śródmieście;65.08;2
999000;Mieszkanie Warszawa Stare Miasto, ul. Piwna 28/30;Stare Miasto;50.0;2
700000;Mieszkanie Warszawa Praga-Południe, ul. Umińskiego;Praga-Południe;63.2;3
